Gene,MeanTumor,MeanNormal,LogFC,PValue,Padj,AbsLogFC,ENSEMBL_clean,SYMBOL
ENSG00000215572,0.476488747911346,0.273856071449176,0.20263267646217,0.0324854805719129,0.0593178826748652,0.20263267646217,ENSG00000215572,
ENSG00000260158,0.254147860375798,0.102427500020604,0.151720360355193,0.0324882287249008,0.0593178826748652,0.151720360355193,ENSG00000260158,
ENSG00000169717,0.0253267788489275,0,0.0253267788489275,0.0324889565546371,0.0593178826748652,0.0253267788489275,ENSG00000169717,ACTRT2
ENSG00000188656,0.0253267788489275,0,0.0253267788489275,0.032488956554637,0.0593178826748652,0.0253267788489275,ENSG00000188656,TSPY7P
ENSG00000197919,0.0253267788489275,0,0.0253267788489275,0.0324889565546375,0.0593178826748652,0.0253267788489275,ENSG00000197919,IFNA1
ENSG00000201607,0.0253267788489275,0,0.0253267788489275,0.0324889565546376,0.0593178826748652,0.0253267788489275,ENSG00000201607,RNU4-16P
ENSG00000205882,0.0253267788489275,0,0.0253267788489275,0.032488956554637,0.0593178826748652,0.0253267788489275,ENSG00000205882,DEFB134
ENSG00000224970,0.0253267788489275,0,0.0253267788489275,0.0324889565546373,0.0593178826748652,0.0253267788489275,ENSG00000224970,
ENSG00000226387,0.0253267788489275,0,0.0253267788489275,0.0324889565546368,0.0593178826748652,0.0253267788489275,ENSG00000226387,SORCS3-AS1
ENSG00000260146,0.0253267788489275,0,0.0253267788489275,0.0324889565546374,0.0593178826748652,0.0253267788489275,ENSG00000260146,LOC107984807
ENSG00000261316,0.0253267788489275,0,0.0253267788489275,0.0324889565546376,0.0593178826748652,0.0253267788489275,ENSG00000261316,
ENSG00000266133,0.0253267788489275,0,0.0253267788489275,0.0324889565546372,0.0593178826748652,0.0253267788489275,ENSG00000266133,MIR4759
ENSG00000271586,0.0253267788489275,0,0.0253267788489275,0.0324889565546369,0.0593178826748652,0.0253267788489275,ENSG00000271586,
ENSG00000276707,0.0253267788489275,0,0.0253267788489275,0.0324889565546369,0.0593178826748652,0.0253267788489275,ENSG00000276707,
ENSG00000283601,0.0253267788489275,0,0.0253267788489275,0.0324889565546367,0.0593178826748652,0.0253267788489275,ENSG00000283601,MS4A19P
ENSG00000284629,0.0253267788489275,0,0.0253267788489275,0.0324889565546373,0.0593178826748652,0.0253267788489275,ENSG00000284629,SCYGR1
ENSG00000284704,0.0253267788489275,0,0.0253267788489275,0.0324889565546362,0.0593178826748652,0.0253267788489275,ENSG00000284704,SCYGR3
ENSG00000286541,0.0253267788489275,0,0.0253267788489275,0.0324889565546372,0.0593178826748652,0.0253267788489275,ENSG00000286541,
ENSG00000224631,6.94553686420847,6.56291173106039,0.382625133148079,0.032524501032128,0.0593808405719445,0.382625133148079,ENSG00000224631,RPS27AP16
ENSG00000214883,0.113016323547089,0.0285714285714286,0.0844448949756602,0.0325382125502473,0.059403934649046,0.0844448949756602,ENSG00000214883,
ENSG00000223177,0.296368167773875,0.142857142857143,0.153511024916732,0.032542926835872,0.059410601805812,0.153511024916732,ENSG00000223177,RNA5SP39
ENSG00000207507,0.251313377321312,0.114285714285714,0.137027663035598,0.0325467097592053,0.0594155682810786,0.137027663035598,ENSG00000207507,RNU6-9
ENSG00000248863,0.740743972309859,0.452334374263266,0.288409598046593,0.032568870039417,0.0594540820769171,0.288409598046593,ENSG00000248863,LOC100421868
ENSG00000241582,1.12360784202672,0.79953446264741,0.324073379379307,0.0325940947877363,0.0594962452252183,0.324073379379307,ENSG00000241582,RPL23AP8
ENSG00000219986,0.894427880187986,0.621568214347528,0.272859665840459,0.0325938475545271,0.0594962452252183,0.272859665840459,ENSG00000219986,
ENSG00000114867,14.0986136151819,13.8992458878677,0.199367727314215,0.0326001888048955,0.0595054267176083,0.199367727314215,ENSG00000114867,EIF4G1
ENSG00000124588,11.6254821102714,11.3528458447223,0.272636265549101,0.0326183247951428,0.0595365872182901,0.272636265549101,ENSG00000124588,NQO2
ENSG00000244482,5.19614704946485,5.7196790159495,-0.523531966484652,0.0326326046438639,0.0595589897002207,0.523531966484652,ENSG00000244482,LILRA6
ENSG00000129518,10.3043450321179,10.1510808555086,0.153264176609289,0.0326327285221337,0.0595589897002207,0.153264176609289,ENSG00000129518,EAPP
ENSG00000232048,0.169096547017813,0.0571428571428571,0.111953689874956,0.0326586234018658,0.0596043059260188,0.111953689874956,ENSG00000232048,HNRNPCP9
ENSG00000205133,10.4915329608607,10.2646451774317,0.226887783429062,0.0326601187269779,0.0596050897281528,0.226887783429062,ENSG00000205133,TRIQK
ENSG00000104368,8.52508659039729,8.18668431682367,0.338402273573621,0.0326624355412267,0.0596073726572621,0.338402273573621,ENSG00000104368,PLAT
ENSG00000265788,0.114254508527425,0.0285714285714286,0.0856830799559962,0.0326644434295314,0.0596090916807941,0.0856830799559962,ENSG00000265788,
ENSG00000139890,2.64093766553185,2.25776447543235,0.383173190099493,0.0326938519068888,0.0596583615282657,0.383173190099493,ENSG00000139890,REM2
ENSG00000269980,0.921721189963056,0.650139642918956,0.2715815470441,0.0326946426407632,0.0596583615282657,0.2715815470441,ENSG00000269980,
ENSG00000266370,0.160891165766209,0.0571428571428571,0.103748308623352,0.0326938039032051,0.0596583615282657,0.103748308623352,ENSG00000266370,MIR3657
ENSG00000189419,7.08057473889831,7.48766564028025,-0.407090901381946,0.0327038831464921,0.0596732756890541,0.407090901381946,ENSG00000189419,SPATA41
ENSG00000255085,1.57512798481375,1.93479518615824,-0.359667201344488,0.0327366221595851,0.059731064126344,0.359667201344488,ENSG00000255085,
ENSG00000185689,3.03614095993324,2.71504832166089,0.321092638272344,0.0327441203386072,0.059742796005729,0.321092638272344,ENSG00000185689,
ENSG00000270802,0.564015162781699,0.335853928633242,0.228161234148457,0.0327510450278299,0.0597534808014845,0.228161234148457,ENSG00000270802,
ENSG00000144339,1.14776434850377,1.56191880952256,-0.414154461018794,0.0327522767679113,0.059753778592429,0.414154461018794,ENSG00000144339,TMEFF2
ENSG00000287857,0.545175392426912,0.299767231323705,0.245408161103207,0.0327558481265173,0.0597583446622222,0.245408161103207,ENSG00000287857,
