Sample,Class,PC1,PC2
TCGA-DD-AAD5-01A,Tumor,-4.89862422639807,2.02585061453463
TCGA-DD-AADL-01A,Tumor,-1.80758863897073,-5.20470795313441
TCGA-G3-A7M7-01A,Tumor,-1.06909262494121,-0.875531684057468
TCGA-MR-A8JO-01A,Tumor,-1.36238292750424,3.64618525097496
TCGA-DD-A11C-11A,Normal,7.69675314919068,0.52566842609636
TCGA-DD-AAE1-01A,Tumor,-5.49660371455747,-0.646524276302745
TCGA-DD-A11C-01A,Tumor,-1.14649661944124,-3.02907540806396
TCGA-RG-A7D4-01A,Tumor,-6.21680535536912,0.595917788992304
TCGA-BC-A10Q-01A,Tumor,-3.89687547806944,7.62838822007297
TCGA-WX-AA46-01A,Tumor,9.03947090723803,-0.982100682425268
TCGA-MI-A75E-01A,Tumor,3.72670843920223,0.303690068602404
TCGA-FV-A23B-11A,Normal,9.3830402878714,0.573992436328244
TCGA-FV-A23B-01A,Tumor,-4.32696844414126,0.665711991807286
TCGA-2Y-A9H1-01A,Tumor,-2.97193071560651,-2.86456250398581
TCGA-CC-5262-01A,Tumor,-1.02800324105702,0.640337590101883
TCGA-DD-A4NF-01A,Tumor,-1.56056116167594,-1.7837929218714
TCGA-DD-AADK-01A,Tumor,1.40673304178425,1.27786217264098
TCGA-BC-A10U-01A,Tumor,0.112242769426113,-1.21693255513182
TCGA-DD-A4NP-01A,Tumor,5.72648708887271,-0.416668276892418
TCGA-FV-A3R2-01A,Tumor,-1.73772145834717,-2.77436624767346
TCGA-BC-A110-11A,Normal,8.88127354017265,0.295633022977311
TCGA-DD-AADF-01A,Tumor,-4.44872206583926,-3.53250117160943
TCGA-ZP-A9D2-01A,Tumor,1.60003628501204,3.20520645267679
TCGA-DD-AACP-01A,Tumor,-3.85043071786007,0.124484044381077
TCGA-BD-A3ER-01A,Tumor,1.59297028229448,-0.620863002480514
TCGA-RC-A6M3-01A,Tumor,-4.2456265921956,3.08860530535474
TCGA-ZP-A9CY-01A,Tumor,4.30793164595468,-1.7931580260625
TCGA-DD-AACA-01A,Tumor,-2.80020549024598,-0.833134722988215
TCGA-BC-A110-01A,Tumor,6.27684819327859,0.305456456572941
TCGA-FV-A3I1-11A,Normal,9.47437762837781,0.005524367820816
TCGA-UB-A7MA-01A,Tumor,-4.00782333126822,4.15809058613612
TCGA-KR-A7K2-01A,Tumor,-1.39886684947432,0.405477510900295
TCGA-DD-A1EC-01A,Tumor,-3.54044268582383,4.17154895862877
TCGA-DD-AADN-01A,Tumor,-6.24243092857657,0.707072774283098
TCGA-2Y-A9HA-01A,Tumor,-1.65890183687737,-1.80754040687596
TCGA-K7-A5RG-01A,Tumor,-1.69725949286891,-1.60459015293286
TCGA-T1-A6J8-01A,Tumor,0.413894387984024,-1.66350260962323
TCGA-CC-A3MC-01A,Tumor,-1.35211314058068,2.41799502913696
TCGA-ES-A2HS-01A,Tumor,1.13683458745776,-1.91725874106032
TCGA-DD-A1EB-11A,Normal,10.3080166273786,0.459607549825551
TCGA-G3-A25T-01A,Tumor,2.49892199606009,3.32218765589745
TCGA-2Y-A9GU-01A,Tumor,-2.80366787799667,-1.46534920007178
TCGA-CC-A8HT-01A,Tumor,-5.38640283164385,-0.812006485150852
TCGA-ED-A7PX-01A,Tumor,-2.04698746448592,6.90215118389503
TCGA-LG-A9QC-01A,Tumor,-2.9311600773335,1.11074990048856
TCGA-DD-AAE9-01A,Tumor,-3.02995919768841,-0.866044849813576
TCGA-K7-A5RF-01A,Tumor,8.41105540274444,-0.13999034222785
TCGA-XR-A8TC-01A,Tumor,-0.731462611178855,1.48091275314227
TCGA-G3-AAV0-01A,Tumor,1.30328978526884,-2.69136898967732
TCGA-DD-AAEK-01A,Tumor,-1.00235378193813,-1.54274239350626
TCGA-DD-A4NO-01A,Tumor,-0.906545012520205,-0.677387301718181
TCGA-ZS-A9CE-01A,Tumor,1.78770869029139,-3.8925687743246
TCGA-BC-A10Z-11A,Normal,9.20969113164768,1.18613840463216
TCGA-DD-A118-11A,Normal,8.02417430503329,0.17934780941228
TCGA-ED-A7PZ-01A,Tumor,-5.92173070683352,0.617713365017691
TCGA-HP-A5N0-01A,Tumor,3.68051980817047,-3.20493136265195
TCGA-ED-A8O6-01A,Tumor,-2.83597558590757,2.58341479392419
TCGA-CC-A3M9-01A,Tumor,-4.86225616893631,6.0804636149412
TCGA-DD-AACS-01A,Tumor,-3.83803493764504,-0.548672973801118
TCGA-DD-AAC8-01A,Tumor,-4.6321491584233,2.15891259338077
TCGA-KR-A7K8-01A,Tumor,-1.29069541652766,-3.25879383627447
TCGA-DD-A1EJ-11A,Normal,10.2999902093659,0.239859622851281
TCGA-DD-A1EJ-01A,Tumor,-4.06304768183883,-2.14378045971149
TCGA-DD-AAED-01A,Tumor,-4.27006716771957,1.24020710685536
TCGA-BC-A10Y-11A,Normal,9.50206526631334,0.912072114503452
TCGA-DD-A1EE-01A,Tumor,-1.90096435185627,-1.9032854298524
TCGA-WX-AA44-01A,Tumor,0.00790549068655547,2.02647590725188
TCGA-DD-A1EG-01A,Tumor,-1.33784114809806,0.234173154438118
TCGA-DD-A1EG-11A,Normal,9.12323252591384,0.416308673224512
TCGA-2Y-A9H8-01A,Tumor,-3.10960414685089,-1.54529817988383
TCGA-RC-A7SB-01A,Tumor,-0.119584853965069,-3.5602662649755
TCGA-ZP-A9CZ-01A,Tumor,-2.47829588040658,-0.0490072053554407
TCGA-DD-A1EI-11A,Normal,10.2831067783997,0.501134901682832
TCGA-DD-A39Z-01A,Tumor,-4.22576340896535,0.0894228098116895
TCGA-BD-A2L6-01A,Tumor,-0.213230018976207,-3.64550278237513
TCGA-2Y-A9H7-01A,Tumor,-5.31098094317241,0.604682738640089
TCGA-DD-AAD0-01A,Tumor,-4.46555986204221,-2.06015869076991
TCGA-G3-A25X-01A,Tumor,-3.74486239784951,5.08291613192704
TCGA-BD-A2L6-11A,Normal,9.28418103446577,1.20553080953469
TCGA-BC-A10R-11A,Normal,9.93993706341296,0.276503358098571
TCGA-DD-A4NB-01A,Tumor,0.802673979979898,1.91644106030584
TCGA-BC-A10R-01A,Tumor,-0.178382190697388,0.720928772580701
TCGA-G3-AAV2-01A,Tumor,-1.5184506448726,-1.24882538349819
TCGA-DD-AAD3-01A,Tumor,1.66663886618093,-0.734585617692664
TCGA-DD-A11B-01A,Tumor,0.298566275548781,-2.44255411581056
TCGA-DD-A11B-11A,Normal,7.91005512086267,0.780078366158703
TCGA-DD-A11D-11A,Normal,9.17709155904801,0.389094595785901
TCGA-CC-5261-01A,Tumor,0.0158614071187673,4.51975091198288
TCGA-DD-AAVW-01A,Tumor,1.0581423643708,2.17324833392628
TCGA-BC-A3KF-01A,Tumor,-0.406172683120131,-4.47469200775065
TCGA-G3-A5SI-01A,Tumor,-3.7830649299861,-0.494952447904726
TCGA-DD-AAVU-01A,Tumor,-5.93730688247311,-1.509146042437
TCGA-DD-AACQ-01A,Tumor,-3.83868819914475,-4.51056242489317
TCGA-G3-A3CG-01A,Tumor,-2.07809287448329,-1.26809822863602
TCGA-DD-AAW2-01A,Tumor,-0.950483079612429,-1.27265441688216
TCGA-G3-AAV5-01A,Tumor,-2.24081728274461,-0.630241566516274
TCGA-G3-A7M8-01A,Tumor,2.4507130841419,-1.44707979532249
TCGA-G3-A7M9-01A,Tumor,-2.00748237058969,2.1126749311771
TCGA-G3-AAV4-01A,Tumor,-3.95617181693383,-0.0201618355086673
TCGA-EP-A3JL-01A,Tumor,-0.961262047010417,-1.37595333740557
TCGA-MI-A75I-01A,Tumor,-2.59954108080989,-2.44728817312658
TCGA-FV-A4ZP-01A,Tumor,-5.66557034292907,2.77433435821239
TCGA-DD-AAVP-01A,Tumor,-0.768210606511924,1.27922775786608
TCGA-DD-AAEH-01A,Tumor,2.71900655142656,-0.867822993205494
TCGA-DD-A114-01A,Tumor,0.646822879807194,3.28414212039328
TCGA-FV-A3R2-11A,Normal,9.26954127616416,0.634090891378418
TCGA-BC-4073-01B,Tumor,-1.90182456209624,1.89500921498906
TCGA-KR-A7K7-01A,Tumor,-4.70900670191229,0.218029459232306
TCGA-O8-A75V-01A,Tumor,-0.885060608399466,-1.14845383332243
TCGA-BC-A69I-01A,Tumor,1.34762691725393,-1.63077747758393
TCGA-ED-A97K-01A,Tumor,5.64203596698546,3.49974210339677
TCGA-DD-A73C-01A,Tumor,0.602040988574127,-1.36857675751052
TCGA-ES-A2HT-01A,Tumor,0.740157417186689,-0.0319092761475622
TCGA-DD-A3A1-01A,Tumor,-3.94319453549574,-3.63849386958706
TCGA-DD-A3A1-11A,Normal,7.58021768703629,0.650736395960162
TCGA-BC-A10T-01A,Tumor,2.4132664461079,-1.20449394566918
TCGA-DD-AAVQ-01A,Tumor,-1.02737408592377,3.96229657753882
TCGA-G3-A6UC-01A,Tumor,-0.254991622290957,-2.89222294834157
